map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	is_landmark
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_Bng171a	Bng171a	Bng171	0.00	0.00	RFLP	0
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_WO7.1450	WO7.1450		8.63	8.63	marker	0
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_Bng122	Bng122		12.77	12.77	RFLP	0
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_O13.700	O13.700		24.16	24.16	marker	0
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_V20.400	V20.400		27.61	27.61	marker	0
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_Q01.650	Q01.650		37.62	37.62	marker	0
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_D162	D162		42.11	42.11	RFLP	0
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_D1327	D1327		46.94	46.94	RFLP	0
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_AD17.350	AD17.350		50.74	50.74	marker	0
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_V12.550	V12.550		52.47	52.47	marker	0
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_R20.1250	R20.1250		55.57	55.57	marker	0
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_T01.300	T01.300		60.75	60.75	marker	0
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_D1032	D1032		70.07	70.07	RFLP	0
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_ROD3.930	ROD3.930		86.64	86.64	RAPD	0
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_AN16.700	AN16.700		92.85	92.85	marker	0
BAT93_x_JALOEEP558_b_B01	B01	0.00	107.00	BAT93_x_JALOEEP558_b_B01_V12.1050	V12.1050		107.00	107.00	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_ROG19.1490	ROG19.1490		0.00	0.00	RAPD	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_G19.1500	G19.1500		4.15	4.15	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_ROS3.380	ROS3.380		20.41	20.41	RAPD	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_I-B	I-B		27.67	27.67	Gene	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_F06.350	F06.350		30.78	30.78	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_T07.550	T07.550		41.50	41.50	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_AG08.700	AG08.700		48.76	48.76	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_O12.900	O12.900		55.68	55.68	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_D1287	D1287		57.76	57.76	RFLP	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_P07.700	P07.700		65.71	65.71	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_D0166	D0166		72.97	72.97	RFLP	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_V12.700	V12.700		76.43	76.43	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_G05.850	G05.850		79.20	79.20	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_G06.1100	G06.1100		81.97	81.97	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_U12.500	U12.500		90.27	90.27	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_Bng174	Bng174		90.96	90.96	RFLP	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_O12.1600	O12.1600		94.42	94.42	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_W20.1400	W20.1400		97.88	97.88	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_I06.550	I06.550		99.95	99.95	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_AM02.1500	AM02.1500		102.03	102.03	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_O19.800	O19.800		104.45	104.45	marker	0
BAT93_x_JALOEEP558_b_B02	B02	0.00	175.00	BAT93_x_JALOEEP558_b_B02_AM10.800	AM10.800		106.87	106.87	marker	0
