Trait	Marker	Chr	Pos	marker_F	p	marker_Rsq	add_F	add_p	dom_F	dom_p	marker_df	marker_MS	error_df	error_MS	model_df	model_MS	minorObs
CotColor	ss715578788	phavu.Chr02	24952	2.24736	0.10616	0.00314	4.41457	0.03586	0.08378	0.77229	2	3533.26958	1115	1572.18343	8	62374.88191	258
CotColor	ss715578818	phavu.Chr02	26003	3.10145	0.04538	0.00439	4.10897	0.0429	2.08987	0.14856	2	4875.522	1100	1572.01277	8	61731.81445	244
CotColor	ss715578923	phavu.Chr02	29671	2.52352	0.08064	0.00354	2.68448	0.10161	2.35928	0.12482	2	3978.73472	1112	1576.6587	8	61754.20401	252
CotColor	ss715578960	phavu.Chr02	30712	1.51236	0.22084	0.00212	1.80699	0.17914	1.21737	0.27012	2	2382.15939	1114	1575.12973	8	61818.21666	69
CotColor	ss715579193	phavu.Chr02	37018	0.63828	0.52839	8.9209E-4	0.05784	0.80998	1.21871	0.26985	2	1005.47412	1116	1575.27882	8	62023.42667	164
CotColor	ss715579265	phavu.Chr02	38482	0.79698	0.45094	0.00111	1.52579	0.217	0.06945	0.79219	2	1255.74799	1119	1575.62387	8	62141.32978	69
CotColor	ss715579576	phavu.Chr02	46373	2.35658	0.09522	0.00329	3.74993	0.05306	0.96336	0.32656	2	3699.81738	1113	1569.99317	8	62566.17193	266
CotColor	ss715579942	phavu.Chr02	49238	0.53158	0.58783	7.4515E-4	0.0159	0.89969	1.04725	0.30636	2	838.73369	1114	1577.82642	8	61685.98582	165
CotColor	ss715580755	phavu.Chr02	61191	2.33898	0.0969	0.00331	3.95482	0.04698	0.72412	0.39498	2	3685.08268	1102	1575.51046	8	61391.60763	273
CotColor	ss715580822	phavu.Chr02	81844	1.5426	0.21428	0.00216	2.97823	0.08467	0.10935	0.74095	2	2427.58178	1114	1573.69358	8	62154.79915	269
CotColor	ss715580828	phavu.Chr02	83156	2.64651	0.07134	0.00369	4.37045	0.03679	0.92287	0.33693	2	4158.44614	1117	1571.29585	8	62670.32449	268
CotColor	ss715580853	phavu.Chr02	90280	2.40892	0.09038	0.00336	3.73022	0.05369	1.08733	0.29729	2	3789.8565	1117	1573.25943	8	62357.33043	268
CotColor	ss715580861	phavu.Chr02	92363	2.30673	0.10006	0.00321	3.60888	0.05773	1.00457	0.31642	2	3624.77577	1119	1571.38968	8	62733.58672	271
CotColor	ss715580878	phavu.Chr02	96802	3.13361	0.04394	0.00436	3.8671	0.04949	2.39529	0.12198	2	4923.55548	1117	1571.21014	8	62702.91052	265
CotColor	ss715580885	phavu.Chr02	98213	1.92353	0.14657	0.00269	3.48131	0.06233	0.36774	0.54436	2	3025.86109	1115	1573.07346	8	62277.53472	265
CotColor	ss715578496	phavu.Chr02	138690	0.58368	0.55801	8.1834E-4	0.0732	0.78678	1.09414	0.29578	2	920.54155	1114	1577.14047	8	61606.04029	522
CotColor	ss715578522	phavu.Chr02	148336	2.27251	0.10353	0.00317	3.43357	0.06415	1.11111	0.29207	2	3574.0584	1116	1572.7347	8	62445.61226	267
CotColor	ss715578587	phavu.Chr02	166728	1.11134	0.32948	0.00157	1.17129	0.27937	1.05135	0.30542	2	1759.03003	1110	1582.79668	8	60764.01915	188
CotColor	ss715578628	phavu.Chr02	183377	2.11115	0.12158	0.00296	4.19216	0.04085	0.03379	0.8542	2	3324.34375	1113	1574.65741	8	61954.99128	255
