map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g1329	g1329	Pv-1329	0	22	dCAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g909	g909	Pv-909	0	0	SSR			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g523	g523	Pv-523	22	22	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g683	g683	Pv-683	29	29	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g2562	g2562	Pv-2562	33	33	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g1367	g1367	Pv-1367	36	36	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_Bng173	Bng173		36	39	RFLP			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_TGA1.1	TGA1.1		39	39	size-indel			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_CV542014	CV542014	Pv-cv542014	41	41	size-indel			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g499	g499	Pv-499	43	43	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g1224	g1224	Pv-1224	44	44	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_Bng122	Bng122		47	47	RFLP			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_A04pO519	A04pO519		54	54	AFLP			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g2132	g2132	Pv-2132	0	22	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g510	g510	Pv-510	22	29	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_Bng171	Bng171		54	72	RFLP			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g1404	g1404	Pv-1404	72	72	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g786	g786	Pv-786	80	80	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g1886	g1886	Pv-1886	80	89	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g2504	g2504	Pv-2504R	80	89	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g1952	g1952	Pv-1952	89	89	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g2162	g2162	Pv-2162	89	100	dCAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g1954	g1954	Pv-1954	100	100	dCAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g1176	g1176	Pv-1176	103	103	dCAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g724	g724	Pv-724	105	105	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g1959	g1959	Pv-1959	107	107	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g1771	g1771	Pv-1771	113	113	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g2580	g2580	Pv-2580	113	119	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_D1662	D1662		113	119	RFLP			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g1737	g1737	Pv-1737	119	119	dCAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_D1315	D1315		119	126	RFLP			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_D1327	D1327		119	126	RFLP			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_D1862	D1862		119	126	RFLP			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g743	g743	Pv-743	126	126	dCAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g2647	g2647	Pv-2647	126	128	allele-indel			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g794	g794	Pv-794	128	128	dCAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g934	g934	Pv-934	128	135	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_DROU15	DROU15		128	135	RAPD			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g822	g822	Pv-822	135	135	SNAP			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_BM146	BM146		135	140	SSR			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_BM157	BM157		135	140	SSR			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g1410	g1410	Pv-1410	140	140	dCAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g1092	g1092	Pv-1092	152	152	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g2266	g2266	Pv-2266	152	158	dCAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g2145	g2145	Pv-2145	158	158	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g1645	g1645	Pv-1645	165	165	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_DROD3a	DROD3a		165	171	RAPD			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g1795	g1795	Pv-1795	171	171	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_DFRa	DFRa		171	171	size-indel			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g901	g901	Pv-901	171	172	CAPS			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_DROD4c	DROD4c		171	172	RAPD			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_DFRb	DFRb		171	172	size-indel			0	
PvMcCleanNDSU2007_1	1	0	172	PvMcCleanNDSU2007_1_g2490	g2490	Pv-2490	171	172	SSR			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_DROS3b	DROS3b		0	0	RAPD			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g1194	g1194	Pv-1194	39	39	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g656	g656	Pv-656	8	8	dCAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g364	g364	Pv-364	8	25	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_I	I		8	25	Phenotypic			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_S2	S2		8	25	size-indel			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g2127	g2127	Pv-2127	25	25	dCAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g2427	g2427	Pv-2427F,Pv-2427R	31	31	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g693	g693	Pv-693	33	33	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g774	g774	Pv-774	34	34	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g2540	g2540	Pv-2540F	35	35	dCAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g2577	g2577	Pv-2577	36	36	dCAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_D1367	D1367		45	45	RFLP			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_D1287	D1287		47	47	RFLP			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g1063	g1063	Pv-1063	47	50	dCAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g2348	g2348	Pv-2348	50	50	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g1132	g1132	Pv-1132	56	56	dCAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g1247	g1247	Pv-1247	61	61	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_D0166	D0166		68	68	RFLP			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g893	g893	Pv-893	71	71	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g2113	g2113	Pv-2113	78	78	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_DROG5a	DROG5a		78	78	RAPD			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g680	g680	Pv-680	36	39	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g1784	g1784	Pv-1784	81	81	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g1773	g1773	Pv-1773	81	91	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g2321	g2321	Pv-2321R	81	91	size-indel			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g849	g849	Pv-849	91	91	SSR			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g1148	g1148	Pv-1148	106	106	size-indel			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g457	g457	Pv-457	111	111	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g2097	g2097	Pv-2097	111	113	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_Bng174	Bng174		113	113	RFLP			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g1556	g1556	Pv-1556	114	114	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g1801	g1801	Pv-1801	120	120	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g321	g321	Pv-321	121	121	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g2040	g2040	Pv-2040	121	123	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_Bmd19	Bmd19		121	123	SSR			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g2581	g2581	Pv-2581	123	123	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g1467	g1467	Pv-TC1467	123	126	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g316	g316	Pv-316	123	126	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g2247	g2247	Pv-2247	123	126	dCAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_Bmd47	Bmd47		126	126	SSR			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_DROG19b	DROG19b		126	131	RAPD			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_DROS13b	DROS13b		126	131	RAPD			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_DROS3c	DROS3c		131	131	RAPD			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_ChS	ChS		138	138	RFLP			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_D0252b	D0252b		138	142	RFLP			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_Bmd18	Bmd18		138	142	SSR			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g1515	g1515	Pv-TC1515	142	142	dCAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_D1595	D1595		162	162	RFLP			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g511	g511	Pv-511	178	178	dCAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g1307	g1307	Pv-1307	178	195	dCAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g797	g797	Pv-797	195	195	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g2020	g2020	Pv-2020	195	202	CAPS			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_D1619	D1619		202	202	RFLP			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g1686	g1686	Pv-1686F,Pv-1686R	209	209	size-indel			0	
PvMcCleanNDSU2007_2	2	0	210	PvMcCleanNDSU2007_2_g2101	g2101	Pv-2101	209	210	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g586	g586	Pv-586	98	104	dCAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g1520	g1520	Pv-1520	98	98	dCAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_DROF10a	DROF10a		95	95	RAPD			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_D1377	D1377		112	112	RFLP			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g1830	g1830	Pv-1830	130	130	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_D1151	D1151		146	152	RFLP			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_DROI16a	DROI16a		178	178	RAPD			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_Bng12	Bng12		119	130	RFLP			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g2274	g2274	Pv-2274	146	146	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_DROG19a	DROG19a		178	179	RAPD			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g964	g964	Pv-964	104	104	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g1805	g1805	Pv-1805	119	119	dCAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g2493	g2493	Pv-2493	119	130	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g2108	g2108	Pv-2108	138	138	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g2068	g2068	Pv-2068	152	152	size-indel			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_Skdh	Skdh		178	179	Allozyme			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_DRON9a	DRON9a		178	179	RAPD			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g762	g762	Pv-762	0	0	allele-indel			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g1296	g1296	Pv-1296	0	14	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_D1066b	D1066b		0	14	RFLP			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_D1132	D1132		14	14	RFLP			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g1624	g1624	Pv-1624	19	19	dCAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g2218	g2218	Pv-2218	21	21	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g2558	g2558	Pv-2558R	21	21	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g664	g664	Pv-664	21	30	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g2213	g2213	Pv-2213	30	30	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g665	g665	Pv-665	36	36	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g2341	g2341	Pv-2341	46	46	dCAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_D1020	D1020		46	55	RFLP			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g1808	g1808	Pv-1808	55	55	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g686	g686	Pv-686	60	60	SNAP			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_Bng165	Bng165		60	65	RFLP			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g2409	g2409	Pv-2409	65	65	dCAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g117	g117	Pv-117	75	75	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_DROF7c	DROF7c		76	76	RAPD			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_DROAD19a	DROAD19a		76	78	RAPD			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_D1009	D1009		76	78	RFLP			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g2371	g2371	Pv-2371	78	78	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g1925	g1925	Pv-1925	79	79	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g125	g125	Pv-125	82	82	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g2476	g2476	Pv-2476	87	87	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g2654	g2654	Pv-2654	90	90	SSR			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_Z-AM10S	Z-AM10S		90	93	STS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g1656	g1656	Pv-1656	93	93	CAPS			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g417	g417	Pv-417	93	93	size-indel			0	
PvMcCleanNDSU2007_3	3	0	179	PvMcCleanNDSU2007_3_g2548	g2548	Pv-2548R	93	95	CAPS			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_Me	Me		0	22	Allozyme			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_g118	g118	Pv-118	0	0	SSR			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_g968	g968	Pv-968	-1	0	dCAPS			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_Bng224	Bng224		0	22	RFLP			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_g755	g755	Pv-755	22	22	size-indel			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_g1564	g1564	Pv-1564	41	41	CAPS			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_g2595	g2595	Pv-2595	53	53	CAPS			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_D1325	D1325		58	58	RFLP			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_BM149	BM149		65	65	SSR			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_g128	g128	Pv-128	65	74	allele-indel			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_BM199	BM199		74	74	SSR			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_BM68	BM68		74	74	SSR			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_G-AP3S	G-AP3S		74	74	STS			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_G-AP7S	G-AP7S		74	74	STS			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_G-U14S	G-U14S		74	74	STS			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_g2685	g2685	Pv-2685	78	78	size-indel			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_Rbcs	Rbcs		78	90	Allozyme			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_g483	g483	Pv-483	78	90	dCAPS			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_D1298	D1298		78	90	RFLP			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_Bng71	Bng71		90	90	RFLP			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_g2303	g2303	Pv-2303R	98	98	SNAP			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_g1375	g1375	Pv-1375	103	103	CAPS			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_DROF10b	DROF10b		110	110	RAPD			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_g2467	g2467	Pv-2467	117	117	CAPS			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_DROF1c	DROF1c		117	118	RAPD			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_D1174	D1174		117	118	RFLP			0	
PvMcCleanNDSU2007_4	4	-1	118	PvMcCleanNDSU2007_4_BM161	BM161		117	118	SSR			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_D1080	D1080		0	0	RFLP			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_g564	g564	Pv-564	12	12	CAPS			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_Diap-1	Diap-1		15	15	Allozyme			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_g1188	g1188	Pv-1188	16	16	CAPS			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_g136	g136	Pv-136	16	16	CAPS			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_DROD20b	DROD20b		19	19	RAPD			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_g1676	g1676	Pv-1676	24	24	CAPS			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_g2596	g2596	Pv-2596	24	24	dCAPS			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_D1198	D1198		24	24	RFLP			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_g2512	g2512	Pv-2512R	25	25	dCAPS			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_g1395	g1395	Pv-1395	26	26	dCAPS			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_g1226	g1226	Pv-1226	26	27	dCAPS			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_g292	g292	Pv-292	27	27	dCAPS			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_DAco-2	DAco-2		31	31	isozyme			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_g2507	g2507	Pv-2507	31	38	dCAPS			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_g985	g985	Pv-985	31	38	dCAPS			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_BM138	BM138		31	38	SSR			0	
PvMcCleanNDSU2007_5	5	0	77	PvMcCleanNDSU2007_5_g2410	g2410	Pv-2410	38	38	dCAPS			0	
